Starting iterations...
steps: 6149975, episodes: 246000, mean episode reward: 59.618659938361276, time: 113.845
steps: 6174975, episodes: 247000, mean episode reward: 67.66406667926243, time: 114.269
steps: 6199975, episodes: 248000, mean episode reward: 58.77427505399871, time: 114.859
steps: 6224975, episodes: 249000, mean episode reward: 56.62845982643636, time: 113.826
steps: 6249975, episodes: 250000, mean episode reward: 50.271496613183494, time: 113.919
steps: 6274975, episodes: 251000, mean episode reward: 47.69408774332025, time: 114.698
steps: 6299975, episodes: 252000, mean episode reward: 41.67395564932814, time: 114.787
steps: 6324975, episodes: 253000, mean episode reward: 43.30538625262629, time: 113.53
steps: 6349975, episodes: 254000, mean episode reward: 40.83023831500042, time: 113.387
steps: 6374975, episodes: 255000, mean episode reward: 44.10721805532944, time: 114.137
steps: 6399975, episodes: 256000, mean episode reward: 51.33937114775017, time: 114.851
steps: 6424975, episodes: 257000, mean episode reward: 53.859319101338684, time: 114.435
steps: 6449975, episodes: 258000, mean episode reward: 61.80773532228644, time: 114.593
steps: 6474975, episodes: 259000, mean episode reward: 62.36284818357623, time: 115.166
steps: 6499975, episodes: 260000, mean episode reward: 66.55674638237959, time: 114.66
steps: 6524975, episodes: 261000, mean episode reward: 60.259078081575865, time: 114.934
steps: 6549975, episodes: 262000, mean episode reward: 48.529948043044115, time: 114.035
steps: 6574975, episodes: 263000, mean episode reward: 28.193193247026795, time: 114.168
steps: 6599975, episodes: 264000, mean episode reward: 32.638267027025535, time: 113.735
steps: 6624975, episodes: 265000, mean episode reward: 37.58303337281992, time: 114.517
steps: 6649975, episodes: 266000, mean episode reward: 42.04587259591193, time: 113.238
steps: 6674975, episodes: 267000, mean episode reward: 58.601838554880786, time: 113.83
steps: 6699975, episodes: 268000, mean episode reward: 65.80107176251005, time: 114.782
steps: 6724975, episodes: 269000, mean episode reward: 71.01535777110561, time: 114.063
steps: 6749975, episodes: 270000, mean episode reward: 70.41389601269256, time: 113.454
steps: 6774975, episodes: 271000, mean episode reward: 68.66496666493683, time: 114.557
steps: 6799975, episodes: 272000, mean episode reward: 69.58549813187537, time: 114.719
steps: 6824975, episodes: 273000, mean episode reward: 68.94212641081944, time: 114.7
steps: 6849975, episodes: 274000, mean episode reward: 75.74136250431475, time: 114.048
steps: 6874975, episodes: 275000, mean episode reward: 74.12314723852123, time: 113.654
steps: 6899975, episodes: 276000, mean episode reward: 62.800839646153385, time: 114.185
steps: 6924975, episodes: 277000, mean episode reward: 72.16551800680709, time: 114.101
steps: 6949975, episodes: 278000, mean episode reward: 75.18574933024374, time: 113.277
steps: 6974975, episodes: 279000, mean episode reward: 87.23508528717497, time: 115.169
steps: 6999975, episodes: 280000, mean episode reward: 80.8927064146267, time: 113.832
steps: 7024975, episodes: 281000, mean episode reward: 67.64980951057662, time: 114.698
steps: 7049975, episodes: 282000, mean episode reward: 77.56120005721385, time: 114.622
steps: 7074975, episodes: 283000, mean episode reward: 70.711158190068, time: 113.942
steps: 7099975, episodes: 284000, mean episode reward: 61.32668801890403, time: 113.564
steps: 7124975, episodes: 285000, mean episode reward: 87.79830232316392, time: 114.477
steps: 7149975, episodes: 286000, mean episode reward: 88.70065357819242, time: 114.493
steps: 7174975, episodes: 287000, mean episode reward: 93.13677980921659, time: 114.36
steps: 7199975, episodes: 288000, mean episode reward: 108.16664486256292, time: 121.498
steps: 7224975, episodes: 289000, mean episode reward: 95.6466689915925, time: 121.692
steps: 7249975, episodes: 290000, mean episode reward: 88.71892101290581, time: 124.026
steps: 7274975, episodes: 291000, mean episode reward: 99.84011589494563, time: 114.956
steps: 7299975, episodes: 292000, mean episode reward: 97.99050595188433, time: 114.895
steps: 7324975, episodes: 293000, mean episode reward: 94.30926384692508, time: 114.033
steps: 7349975, episodes: 294000, mean episode reward: 87.05594487257378, time: 115.239
steps: 7374975, episodes: 295000, mean episode reward: 90.12790176617075, time: 114.471
steps: 7399975, episodes: 296000, mean episode reward: 89.28679081448958, time: 114.405
steps: 7424975, episodes: 297000, mean episode reward: 84.19671471119443, time: 112.895
steps: 7449975, episodes: 298000, mean episode reward: 77.04046575243842, time: 113.356
steps: 7474975, episodes: 299000, mean episode reward: 71.83736112663004, time: 115.115
steps: 7499975, episodes: 300000, mean episode reward: 67.95394564278851, time: 114.888
steps: 7524975, episodes: 301000, mean episode reward: 55.044519268645544, time: 113.808
steps: 7549975, episodes: 302000, mean episode reward: 50.61267285813773, time: 114.635
steps: 7574975, episodes: 303000, mean episode reward: 51.69850280478313, time: 114.423
steps: 7599975, episodes: 304000, mean episode reward: 63.25043350159243, time: 114.14
steps: 7624975, episodes: 305000, mean episode reward: 76.3168151392283, time: 115.206
steps: 7649975, episodes: 306000, mean episode reward: 76.6314012006257, time: 114.294
steps: 7674975, episodes: 307000, mean episode reward: 73.31174474415327, time: 114.861
steps: 7699975, episodes: 308000, mean episode reward: 65.32165762652555, time: 114.694
steps: 7724975, episodes: 309000, mean episode reward: 64.10171238585556, time: 115.704
steps: 7749975, episodes: 310000, mean episode reward: 68.24750163859258, time: 115.086
steps: 7774975, episodes: 311000, mean episode reward: 63.15982951565867, time: 114.999
steps: 7799975, episodes: 312000, mean episode reward: 63.21250537450984, time: 114.859
steps: 7824975, episodes: 313000, mean episode reward: 64.51753238937403, time: 115.849
steps: 7849975, episodes: 314000, mean episode reward: 57.15673473169469, time: 115.365
steps: 7874975, episodes: 315000, mean episode reward: 59.42145069966003, time: 114.839
steps: 7899975, episodes: 316000, mean episode reward: 53.96499472800315, time: 113.65
steps: 7924975, episodes: 317000, mean episode reward: 46.96544007783239, time: 115.187
steps: 7949975, episodes: 318000, mean episode reward: 17.978379924944225, time: 114.6
steps: 7974975, episodes: 319000, mean episode reward: 6.014197945720886, time: 115.06
steps: 7999975, episodes: 320000, mean episode reward: 0.908431820871888, time: 115.262
steps: 8024975, episodes: 321000, mean episode reward: 34.540665278760315, time: 115.018
steps: 8049975, episodes: 322000, mean episode reward: 49.87254445831757, time: 115.76
steps: 8074975, episodes: 323000, mean episode reward: 58.650187800884716, time: 114.381
steps: 8099975, episodes: 324000, mean episode reward: 53.10431931355138, time: 114.668
steps: 8124975, episodes: 325000, mean episode reward: 46.880021421936306, time: 114.588
steps: 8149975, episodes: 326000, mean episode reward: 42.52340968376981, time: 114.591
steps: 8174975, episodes: 327000, mean episode reward: 73.78970309534905, time: 114.298
steps: 8199975, episodes: 328000, mean episode reward: 103.97384534986507, time: 113.851
steps: 8224975, episodes: 329000, mean episode reward: 99.7920072950955, time: 114.851
steps: 8249975, episodes: 330000, mean episode reward: 84.66545029364305, time: 114.475
steps: 8274975, episodes: 331000, mean episode reward: 78.980138305954, time: 115.513
steps: 8299975, episodes: 332000, mean episode reward: 73.82843780123298, time: 114.31
steps: 8324975, episodes: 333000, mean episode reward: 72.43727390786196, time: 114.076
steps: 8349975, episodes: 334000, mean episode reward: 70.6779402105344, time: 114.038
steps: 8374975, episodes: 335000, mean episode reward: 59.82209729456973, time: 118.685
steps: 8399975, episodes: 336000, mean episode reward: 51.51759852426827, time: 120.224
steps: 8424975, episodes: 337000, mean episode reward: 61.410865388360776, time: 120.118
steps: 8449975, episodes: 338000, mean episode reward: 52.06378842424907, time: 123.469
steps: 8474975, episodes: 339000, mean episode reward: 38.6150528774293, time: 120.12
steps: 8499975, episodes: 340000, mean episode reward: 37.8195954282824, time: 120.036
steps: 8524975, episodes: 341000, mean episode reward: 48.92085266190175, time: 119.324
steps: 8549975, episodes: 342000, mean episode reward: 67.78707305580157, time: 113.996
steps: 8574975, episodes: 343000, mean episode reward: 68.65832128777974, time: 113.855
steps: 8599975, episodes: 344000, mean episode reward: 58.92010061875957, time: 113.484
steps: 8624975, episodes: 345000, mean episode reward: 4.253019041614562, time: 118.852
steps: 8649975, episodes: 346000, mean episode reward: 6.9402958053479, time: 121.032
steps: 8674975, episodes: 347000, mean episode reward: 16.274791308262284, time: 124.294
steps: 8699975, episodes: 348000, mean episode reward: 30.352704430913946, time: 120.535
steps: 8724975, episodes: 349000, mean episode reward: 57.754669683403364, time: 126.113
steps: 8749975, episodes: 350000, mean episode reward: 103.87144826512106, time: 128.504
steps: 8774975, episodes: 351000, mean episode reward: 116.43088260357658, time: 126.348
steps: 8799975, episodes: 352000, mean episode reward: 121.9987684530513, time: 123.915
steps: 8824975, episodes: 353000, mean episode reward: 116.63859994178544, time: 117.089
steps: 8849975, episodes: 354000, mean episode reward: 111.03034673488865, time: 117.089
steps: 8874975, episodes: 355000, mean episode reward: 117.93165339513766, time: 116.515
steps: 8899975, episodes: 356000, mean episode reward: 118.15261586070314, time: 117.285
steps: 8924975, episodes: 357000, mean episode reward: 109.78659353890829, time: 117.831
steps: 8949975, episodes: 358000, mean episode reward: 82.79244268699063, time: 117.002
steps: 8974975, episodes: 359000, mean episode reward: 70.6017351208748, time: 116.022
